"ticker","company","sector","url"
"PRGO","Perrigo","Health Care","http://finance.yahoo.com/q?s=PRGO"
"PFE","Pfizer Inc.","Health Care","http://finance.yahoo.com/q?s=PFE"
"PCG","PGE Corp.","Utilities","http://finance.yahoo.com/q?s=PCG"
"PM","Philip Morris International","Consumer Staples","http://finance.yahoo.com/q?s=PM"
"PSX","Phillips 66","Energy","http://finance.yahoo.com/q?s=PSX"
"PNW","Pinnacle West Capital","Utilities","http://finance.yahoo.com/q?s=PNW"
"PXD","Pioneer Natural Resources","Energy","http://finance.yahoo.com/q?s=PXD"
"PBI","Pitney-Bowes","Industrials","http://finance.yahoo.com/q?s=PBI"
"PCL","Plum Creek Timber Co.","Financials","http://finance.yahoo.com/q?s=PCL"
"PNC","PNC Financial Services","Financials","http://finance.yahoo.com/q?s=PNC"
"RL","Polo Ralph Lauren Corp.","Consumer Discretionary","http://finance.yahoo.com/q?s=RL"
"PPG","PPG Industries","Materials","http://finance.yahoo.com/q?s=PPG"
"PPL","PPL Corp.","Utilities","http://finance.yahoo.com/q?s=PPL"
"PX","Praxair Inc.","Materials","http://finance.yahoo.com/q?s=PX"
"PCP","Precision Castparts","Industrials","http://finance.yahoo.com/q?s=PCP"
"PCLN","Priceline.com Inc","Industrials","http://finance.yahoo.com/q?s=PCLN"
"PFG","Principal Financial Group","Financials","http://finance.yahoo.com/q?s=PFG"
"PG","Procter  Gamble","Consumer Staples","http://finance.yahoo.com/q?s=PG"
"PGR","Progressive Corp.","Financials","http://finance.yahoo.com/q?s=PGR"
"PLD","ProLogis","Financials","http://finance.yahoo.com/q?s=PLD"
"PRU","Prudential Financial","Financials","http://finance.yahoo.com/q?s=PRU"
"PEG","Public Serv. Enterprise Inc.","Utilities","http://finance.yahoo.com/q?s=PEG"
"PSA","Public Storage","Financials","http://finance.yahoo.com/q?s=PSA"
"PHM","Pulte Homes Inc.","Consumer Discretionary","http://finance.yahoo.com/q?s=PHM"
"QEP","QEP Resources","Utilities","http://finance.yahoo.com/q?s=QEP"
"PWR","Quanta Services Inc.","Industrials","http://finance.yahoo.com/q?s=PWR"
"QCOM","QUALCOMM Inc.","Information Technology","http://finance.yahoo.com/q?s=QCOM"
"DGX","Quest Diagnostics","Health Care","http://finance.yahoo.com/q?s=DGX"
"RRC","Range Resources Corp.","Energy","http://finance.yahoo.com/q?s=RRC"
"RTN","Raytheon Co.","Industrials","http://finance.yahoo.com/q?s=RTN"
